source,title,company,experience,salary,location,skills,posted,job_link,search_query,scraped_at,title_clean,job_category,exp_min_years,is_fresher_friendly,salary_clean,skills_list,skills_clean,skills_list_str
Naukri,Data Analyst,AM Infoweb,3-4 Yrs,Not Disclosed,Pune(Kalyani Nagar),"Power Bi, SQL, Bi, Dashboards, Data Analytics, Analytics, Data, Data analysis",1 week ago,https://www.naukri.com/job-listings-data-analyst-am-infoweb-pune-3-to-4-years-200426016267,Data Analyst,2026-04-29 17:11:31,data analyst,Data Analyst,3.0,False,,"['power bi', 'sql', 'bi', 'dashboards', 'data analytics', 'analytics', 'data', 'data analysis']","power bi, sql, bi, dashboards, data analytics, analytics, data, data analysis","power bi, sql, bi, dashboards, data analytics, analytics, data, data analysis"
Naukri,Data Analyst,Intelizign Lifecycle Services,2-6 Yrs,Not Disclosed,Pune,"Data Analysis, battery fundamentals, battery chemistries, Python, PyBamm, Power BI, SOC, Tableau",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-intelizign-lifecycle-services-pune-2-to-6-years-150426008682,Data Analyst,2026-04-29 17:11:32,data analyst,Data Analyst,2.0,False,,"['data analysis', 'battery fundamentals', 'battery chemistries', 'python', 'pybamm', 'power bi', 'soc', 'tableau']","data analysis, battery fundamentals, battery chemistries, python, pybamm, power bi, soc, tableau","data analysis, battery fundamentals, battery chemistries, python, pybamm, power bi, soc, tableau"
Naukri,Data Analyst,Kanary Staffing,5-8 Yrs,Not Disclosed,Hybrid - Pune,"Power Bi, SAS, Cloud, Data Analytics, Data Modeling, ETL, Python, Modeling",1 day ago,https://www.naukri.com/job-listings-data-analyst-kanary-staffing-pune-5-to-8-years-280426026781,Data Analyst,2026-04-29 17:11:32,data analyst,Data Analyst,5.0,False,,"['power bi', 'sas', 'cloud', 'data analytics', 'data modeling', 'etl', 'python', 'modeling']","power bi, sas, cloud, data analytics, data modeling, etl, python, modeling","power bi, sas, cloud, data analytics, data modeling, etl, python, modeling"
Naukri,Data Analyst - AI & Bedrock Specialization,Tekskills india,5-10 Yrs,Not Disclosed,Pune,"Bedrock, Natural Language Processing, Data Analysis, Data Analytics, Machine Learning, ML, Languages, Data",1 day ago,https://www.naukri.com/job-listings-data-analyst-ai-bedrock-specialization-tekskills-pune-5-to-10-years-280426934061,Data Analyst,2026-04-29 17:11:32,data analyst - ai & bedrock specialization,Data Analyst,5.0,False,,"['bedrock', 'natural language processing', 'data analysis', 'data analytics', 'machine learning', 'ml', 'languages', 'data']","bedrock, natural language processing, data analysis, data analytics, machine learning, ml, languages, data","bedrock, natural language processing, data analysis, data analytics, machine learning, ml, languages, data"
Naukri,Data Analyst,eClerx,5-10 Yrs,Not Disclosed,"Pune, Mumbai (All Areas)","Python, SQL, Data Analysis, Analysis, Data",1 week ago,https://www.naukri.com/job-listings-data-analyst-eclerx-pune-mumbai-all-areas-5-to-10-years-200426005743,Data Analyst,2026-04-29 17:11:32,data analyst,Data Analyst,5.0,False,,"['python', 'sql', 'data analysis', 'analysis', 'data']","python, sql, data analysis, analysis, data","python, sql, data analysis, analysis, data"
Naukri,Data Analyst,Nalco Water,4-8 Yrs,Not Disclosed,Pune,"Chemical, Cooling Tower, Chemical Engineering, Water Treatment, Tower, Data analysis, Water, Engineering",5 days ago,https://www.naukri.com/job-listings-data-analyst-nalco-water-pune-4-to-8-years-240426020052,Data Analyst,2026-04-29 17:11:33,data analyst,Data Analyst,4.0,False,,"['chemical', 'cooling tower', 'chemical engineering', 'water treatment', 'tower', 'data analysis', 'water', 'engineering']","chemical, cooling tower, chemical engineering, water treatment, tower, data analysis, water, engineering","chemical, cooling tower, chemical engineering, water treatment, tower, data analysis, water, engineering"
Naukri,Data Analyst,bp,3-6 Yrs,Not Disclosed,Pune,"Data Visualization, Data Analytics, Python, Power Bi, SQL, Analytics, Data analysis, Data",6 days ago,https://www.naukri.com/job-listings-data-analyst-bp-pune-3-to-6-years-230426020903,Data Analyst,2026-04-29 17:11:33,data analyst,Data Analyst,3.0,False,,"['data visualization', 'data analytics', 'python', 'power bi', 'sql', 'analytics', 'data analysis', 'data']","data visualization, data analytics, python, power bi, sql, analytics, data analysis, data","data visualization, data analytics, python, power bi, sql, analytics, data analysis, data"
Naukri,DATA ANALYST,Godigi Infotech,N/A,Unpaid,Pune,,Starts in 1-3 months,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831,Data Analyst,2026-04-29 17:11:42,data analyst,Data Analyst,,False,Unpaid,['general ai/ml'],general ai/ml,general ai/ml
Naukri,Procurement Data Analyst,Ecolab Global Services,3-5 Yrs,Not Disclosed,Hybrid - Pune(Kharadi),"Procurement, Power Bi, Supply Chain Analytics, SQL, Data Quality, Data Visualization, Supply, Bi",2 weeks ago,https://www.naukri.com/job-listings-procurement-data-analyst-ecolab-global-services-pune-3-to-5-years-120426004602,Data Analyst,2026-04-29 17:11:42,procurement data analyst,Data Analyst,3.0,False,,"['procurement', 'power bi', 'supply chain analytics', 'sql', 'data quality', 'data visualization', 'supply', 'bi']","procurement, power bi, supply chain analytics, sql, data quality, data visualization, supply, bi","procurement, power bi, supply chain analytics, sql, data quality, data visualization, supply, bi"
Naukri,Data Analyst,Tata Technologies,3-6 Yrs,Not Disclosed,Pune,"data analyst, snowflake, data analysis, power bi, sales, marketing, tableau, etl pipelines",1 week ago,https://www.naukri.com/job-listings-data-analyst-tata-technologies-ltd-pune-3-to-6-years-200426906228,Data Analyst,2026-04-29 17:11:42,data analyst,Data Analyst,3.0,False,,"['data analyst', 'snowflake', 'data analysis', 'power bi', 'sales', 'marketing', 'tableau', 'etl pipelines']","data analyst, snowflake, data analysis, power bi, sales, marketing, tableau, etl pipelines","data analyst, snowflake, data analysis, power bi, sales, marketing, tableau, etl pipelines"
